 , ,Total SCHL,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree,Less Than High School,High School,Some College,Bachelor Degree,"Master, PhD, or Professional Degree"
    PRD-MISCELLANEOUS ASSEMBLERS AND FABRICATORS, ,1338170,0,29219,108,206,910,2051,4212,3943,3360,23063,6435,17554,27525,32016,45012,34582,537192,101150,107198,208457,76170,68394,8166,663,584,230196,638342,391825,68394,9413
    PRD-BAKERS, ,295402,0,6131,0,0,320,291,1992,1502,1190,9695,1787,7477,8652,8140,9938,7133,97977,13460,19328,49567,24752,21362,3582,520,606,64248,111437,93647,21362,4708
"    PRD-BUTCHERS AND OTHER MEAT, POULTRY, AND FISH PROCESSING WORKERS", ,328831,0,14718,36,0,893,1806,3586,1338,3655,11085,3484,8405,13381,11971,17078,13927,114934,18163,22166,43557,11892,10773,1451,128,404,105363,133097,77615,10773,1983
"    PRD-FOOD AND TOBACCO ROASTING, BAKING, AND DRYING MACHINE OPERATORS AND TENDERS", ,11456,0,385,0,0,0,0,96,0,0,417,0,423,111,415,422,359,3671,1394,1154,1296,446,641,133,93,0,2628,5065,2896,641,226
    PRD-FOOD BATCHMAKERS, ,118230,0,2251,0,0,77,199,333,232,515,3957,178,1688,2225,3674,4734,4498,41976,5752,6603,20109,9807,8066,1177,179,0,24561,47728,36519,8066,1356
    PRD-FOOD COOKING MACHINE OPERATORS AND TENDERS, ,12376,0,368,0,0,0,0,0,0,161,336,197,198,294,656,1204,613,3084,1468,800,1492,849,656,0,0,0,4027,4552,3141,656,0
"    PRD-FOOD PROCESSING WORKERS, ALL OTHER", ,159450,0,4792,146,0,88,855,2294,641,1735,7361,1263,4198,6940,4432,8436,4078,59800,8113,9103,21388,7193,5156,923,515,0,47259,67913,37684,5156,1438
    PRD-COMPUTER CONTROL PROGRAMMERS AND OPERATORS, ,106937,0,350,0,0,0,105,0,0,0,134,203,813,461,2284,1859,1444,35083,7976,9554,27274,12644,5933,628,192,0,7653,43059,49472,5933,820
"    PRD-EXTRUDING AND DRAWING MACHINE SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC", ,15931,0,144,0,0,0,0,0,0,0,0,89,394,67,485,214,427,6574,2016,914,3223,790,535,59,0,0,1820,8590,4927,535,59
"    PRD-FORGING MACHINE SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC", ,9250,0,75,0,0,0,0,0,192,0,0,0,37,9,863,109,575,4302,616,331,1017,298,826,0,0,0,1860,4918,1646,826,0
"    PRD-ROLLING MACHINE SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC", ,9732,0,0,0,0,0,0,72,0,0,126,38,168,129,127,458,470,3995,710,446,1820,544,402,227,0,0,1588,4705,2810,402,227
"    PRD-MACHINE TOOL CUTTING SETTERS, OPERATORS, AND TENDERS, METAL AND PLASTIC", ,185020,0,2482,0,53,280,215,1552,488,1213,5158,990,2836,4619,6175,9816,5030,75112,16591,12991,24175,8436,5817,991,0,0,40907,91703,45602,5817,991
    PRD-MACHINISTS, ,411788,0,4146,72,0,0,0,500,299,1313,3799,1040,3798,5007,7089,10246,8360,161115,25011,40412,79006,44291,14882,1285,64,53,45669,186126,163709,14882,1402
"    PRD-METAL FURNACE OPERATORS, TENDERS, POURERS, AND CASTERS", ,26612,0,131,0,0,0,0,0,130,103,0,0,851,843,442,449,520,12049,2314,2262,2689,2170,1551,108,0,0,3469,14363,7121,1551,108
"    PRD-MODEL MAKERS, PATTERNMAKERS, AND MOLDING MACHINE SETTERS, METAL AND PLASTIC", ,59372,0,671,0,0,91,85,0,0,0,263,89,521,1430,1738,1285,2045,22099,5520,5384,10775,4183,3066,127,0,0,8218,27619,20342,3066,127
    PRD-TOOL AND DIE MAKERS, ,69630,0,352,0,0,0,0,0,138,69,364,103,508,755,490,1335,1703,27709,1489,5654,15654,11265,1994,48,0,0,5817,29198,32573,1994,48
"    PRD-WELDING, SOLDERING, AND BRAZING WORKERS", ,763542,0,12039,284,237,281,1397,2121,1809,3396,14461,4676,11316,21485,21563,27075,25856,300896,67085,57090,118473,55233,14161,1756,685,167,147996,367981,230796,14161,2608
"    PRD-MISCELLANEOUS METAL WORKERS AND PLASTIC WORKERS, INCLUDING MULTIPLE MACHINE TOOL SETTERS", ,520702,0,10713,68,0,379,870,3268,2172,3271,7869,3560,8680,12551,11452,13598,18315,207664,37152,48081,80320,30082,17996,2352,224,65,96766,244816,158483,17996,2641
    PRD-PREPRESS TECHNICIANS AND WORKERS, ,31233,0,349,0,0,0,0,0,0,66,158,0,320,749,0,1298,674,9021,1244,2653,6378,3685,4207,327,104,0,3614,10265,12716,4207,431
    PRD-PRINTING PRESS OPERATORS, ,220737,0,1894,0,0,131,482,351,88,1218,954,724,1937,3912,4752,5546,6419,85532,13656,18678,36544,14987,20185,2339,165,243,28408,99188,70209,20185,2747
    PRD-PRINT BINDING AND FINISHING WORKERS, ,27834,0,598,0,0,0,239,0,170,0,232,155,102,473,835,1000,239,11568,1353,2856,3484,2000,1996,482,52,0,4043,12921,8340,1996,534
    PRD-LAUNDRY AND DRY-CLEANING WORKERS, ,253954,0,10644,0,210,669,819,3455,770,1802,9045,1061,7140,11412,11628,14694,9768,84612,17148,13464,30968,9647,11669,2871,318,140,83117,101760,54079,11669,3329
"    PRD-PRESSERS, TEXTILE, GARMENT, AND RELATED MATERIALS", ,60544,0,2303,0,0,776,0,502,878,865,5454,1359,2257,4466,3403,3935,1988,17915,4280,2232,5038,1328,1565,0,0,0,28186,22195,8598,1565,0
    PRD-SEWING MACHINE OPERATORS, ,257507,0,12872,102,372,572,840,3406,2312,3901,18461,4510,9033,14016,9058,7778,11261,83586,13911,14607,22291,12090,10403,1706,354,65,98494,97497,48988,10403,2125
    PRD-SHOE AND LEATHER WORKERS, ,16695,0,299,0,0,0,0,0,87,78,702,218,476,483,229,292,423,5498,1810,1148,2267,550,1479,404,252,0,3287,7308,3965,1479,656
"    PRD-TAILORS, DRESSMAKERS, AND SEWERS", ,97686,0,3120,0,36,254,95,287,739,798,4960,374,2943,4534,1968,3163,3593,25716,4142,6746,15382,5456,10152,2379,518,331,26864,29858,27584,10152,3228
"    PRD-TEXTILE BLEACHING AND DYEING, AND CUTTING MACHINE SETTERS, OPERATORS, AND TENDERS", ,13813,0,0,0,0,0,181,215,0,153,726,97,735,288,496,759,756,5683,1052,753,647,713,559,0,0,0,4406,6735,2113,559,0
"    PRD-TEXTILE KNITTING AND WEAVING MACHINE SETTERS, OPERATORS, AND TENDERS", ,10936,0,303,0,0,0,0,124,67,0,50,413,246,410,518,493,193,4806,723,213,875,125,936,441,0,0,2817,5529,1213,936,441
"    PRD-TEXTILE WINDING, TWISTING, AND DRAWING OUT MACHINE SETTERS, OPERATORS, AND TENDERS", ,16233,0,230,0,0,0,0,227,0,293,742,104,473,1535,548,1845,560,5638,1186,337,2150,232,0,33,0,100,6557,6824,2719,0,133
    PRD-UPHOLSTERERS, ,40803,0,997,0,0,0,0,411,130,749,1808,378,1729,1501,990,1774,1547,14808,3087,3246,3740,2238,1339,256,75,0,12014,17895,9224,1339,331
"    PRD-MISCELLANEOUS TEXTILE, APPAREL, AND FURNISHINGS WORKERS, EXCEPT UPHOLSTERERS", ,23474,0,442,0,0,165,305,169,245,0,1235,67,281,736,559,1449,656,6581,1597,1613,3397,1125,2699,0,0,153,6309,8178,6135,2699,153
    PRD-CABINETMAKERS AND BENCH CARPENTERS, ,60151,0,909,0,0,0,80,131,408,162,2284,334,974,2522,1269,2631,1509,24184,4209,3797,5651,4154,3952,952,39,0,13213,28393,13602,3952,991
    PRD-FURNITURE FINISHERS, ,18330,0,241,0,0,0,103,0,0,179,603,12,2147,608,646,280,609,5362,1379,752,2195,986,1383,691,154,0,5428,6741,3933,1383,845
"    PRD-SAWING MACHINE SETTERS, OPERATORS, AND TENDERS, WOOD", ,44431,0,660,0,0,0,0,0,0,366,416,73,3594,734,3093,2336,1617,17859,3438,3055,4292,1884,1014,0,0,0,12889,21297,9231,1014,0
"    PRD-WOODWORKING MACHINE SETTERS, OPERATORS, AND TENDERS, EXCEPT SAWING", ,20478,0,371,0,0,0,0,0,0,0,500,0,1598,671,1056,1238,368,7586,1515,640,2935,1184,730,86,0,0,5802,9101,4759,730,86
"    PRD-MISCELLANEOUS WOODWORKERS, INCLUDING MODEL MAKERS AND PATTERNMAKERS", ,41244,0,759,0,0,124,373,0,0,109,596,67,1212,1112,1434,1250,1556,12477,1617,2874,6277,3514,4349,1152,322,70,8592,14094,12665,4349,1544
"    PRD-POWER PLANT OPERATORS, DISTRIBUTORS, AND DISPATCHERS", ,55985,0,0,0,0,0,0,0,0,0,0,0,0,86,0,138,307,13540,1880,6449,12883,10337,9118,1167,0,80,531,15420,29669,9118,1247
    PRD-STATIONARY ENGINEERS AND BOILER OPERATORS, ,114832,0,541,0,62,78,0,0,0,0,496,191,598,1130,776,1353,1757,40260,5809,9776,27780,10450,10148,2948,487,192,6982,46069,48006,10148,3627
    PRD-WATER AND WASTEWATER TREATMENT PLANT AND SYSTEM OPERATORS, ,97266,0,859,0,0,0,0,0,0,0,0,144,287,605,326,447,752,29955,6641,9849,22303,12855,10379,1656,21,187,3420,36596,45007,10379,1864
    PRD-MISCELLANEOUS PLANT AND SYSTEM OPERATORS, ,53773,0,223,0,0,0,0,72,0,0,989,0,141,298,631,1183,179,17351,2818,5231,11223,7179,5713,435,107,0,3716,20169,23633,5713,542
"    PRD-CHEMICAL PROCESSING MACHINE SETTERS, OPERATORS, AND TENDERS", ,63465,0,411,0,0,92,38,0,0,1034,208,0,274,852,904,1003,923,18023,2491,3803,12882,5002,12402,2575,199,349,5739,20514,21687,12402,3123
"    PRD-CRUSHING, GRINDING, POLISHING, MIXING, AND BLENDING WORKERS", ,108679,0,2384,0,0,244,0,48,293,390,1923,919,2012,1904,2833,4620,4263,40903,8926,7046,16727,5888,6507,428,355,66,21833,49829,29661,6507,849
    PRD-CUTTING WORKERS, ,91999,0,3046,0,0,152,791,693,584,1357,3709,785,2156,3763,3943,4328,4344,33273,7098,4477,9109,4908,2863,620,0,0,29651,40371,18494,2863,620
"    PRD-EXTRUDING, FORMING, PRESSING, AND COMPACTING MACHINE SETTERS, OPERATORS, AND TENDERS", ,32267,0,726,0,0,0,0,0,108,0,120,54,220,874,1906,1082,895,15286,2348,2696,4079,1095,697,81,0,0,5985,17634,7870,697,81
"    PRD-FURNACE, KILN, OVEN, DRIER, AND KETTLE OPERATORS AND TENDERS", ,16746,0,146,0,0,0,0,0,513,0,302,0,0,1821,1138,393,736,5341,633,1152,3173,741,657,0,0,0,5049,5974,5066,657,0
"    PRD-INSPECTORS, TESTERS, SORTERS, SAMPLERS, AND WEIGHERS", ,999167,0,8952,288,402,725,843,1690,2331,2090,8723,2769,6923,14255,16713,23936,19571,305291,62441,90090,181801,96737,122556,25356,2361,2323,110211,367732,368628,122556,30040
    PRD-JEWELERS AND PRECIOUS STONE AND METAL WORKERS, ,53636,0,1039,151,0,257,0,148,0,199,623,786,343,1235,1183,444,2896,13361,1934,2351,9604,3470,11677,1325,610,0,9304,15295,15425,11677,1935
"    PRD-MEDICAL, DENTAL, AND OPHTHALMIC LABORATORY TECHNICIANS", ,105720,0,837,89,76,0,437,0,0,114,297,103,126,1370,732,1689,2627,25681,4784,9928,22211,17675,14611,1384,723,226,8497,30465,49814,14611,2333
    PRD-PACKAGING AND FILLING MACHINE OPERATORS AND TENDERS, ,353496,0,11997,0,302,297,2797,4169,2463,2780,17080,3390,8308,14891,14649,20011,14164,127451,21963,21060,40871,12882,10295,1091,31,554,117298,149414,74813,10295,1676
    PRD-PAINTING WORKERS, ,184417,0,4495,204,271,0,388,891,326,1250,4510,572,3685,7493,5950,8399,4530,73976,12394,10843,26120,8845,7970,963,342,0,42964,86370,45808,7970,1305
    PRD-PHOTOGRAPHIC PROCESS WORKERS AND PROCESSING MACHINE OPERATORS, ,37701,0,290,0,0,0,0,0,0,0,45,0,0,568,554,1353,125,9355,1602,2271,8787,3609,7776,955,148,263,2935,10957,14667,7776,1366
    PRD-ADHESIVE BONDING MACHINE OPERATORS AND TENDERS, ,10772,0,409,0,0,0,29,0,227,0,0,0,234,267,343,170,381,5614,308,378,1917,159,261,75,0,0,2060,5922,2454,261,75
    PRD-ETCHERS AND ENGRAVERS, ,12727,0,0,0,0,0,0,0,0,0,0,0,0,632,91,286,89,4204,401,1849,2143,1395,1347,171,119,0,1098,4605,5387,1347,290
"    PRD-MOLDERS, SHAPERS, AND CASTERS, EXCEPT METAL AND PLASTIC", ,37690,0,532,0,0,0,0,456,130,685,331,72,1081,1782,522,1821,613,12385,2538,1495,5279,1787,4424,1380,102,275,8025,14923,8561,4424,1757
"    PRD-PAPER GOODS MACHINE SETTERS, OPERATORS, AND TENDERS", ,29726,0,1629,0,0,0,170,0,103,0,534,146,483,390,375,887,616,13030,2738,1639,3850,1929,1161,46,0,0,5333,15768,7418,1161,46
    PRD-TIRE BUILDERS, ,16887,0,30,0,0,0,0,0,0,0,0,0,0,270,95,184,165,7149,1521,1817,4462,718,350,126,0,0,744,8670,6997,350,126
    PRD-HELPERS-PRODUCTION WORKERS, ,71120,0,1526,0,0,0,101,426,461,0,2051,646,2202,4886,3028,4928,2618,21561,3441,4677,8623,3650,5259,930,0,106,22873,25002,16950,5259,1036
"    PRD-MISCELLANEOUS PRODUCTION WORKERS, INCLUDING SEMICONDUCTOR PROCESSORS", ,1620414,0,42481,355,215,1287,3275,7214,5663,8551,29734,10030,25601,39382,48037,53417,48091,635150,114806,113354,247161,90371,80721,12471,1541,1506,323333,749956,450886,80721,15518
    TRN-SUPERVISORS OF TRANSPORTATION AND MATERIAL MOVING WORKERS, ,253759,0,2117,0,0,0,0,72,141,443,895,384,1322,3009,2515,4858,4463,75311,11067,22506,56053,22217,39054,6281,646,405,20219,86378,100776,39054,7332
    TRN-AIRCRAFT PILOTS AND FLIGHT ENGINEERS, ,166495,0,101,0,0,0,0,0,0,0,0,0,17,0,0,197,232,8999,625,2615,17217,14667,93496,24978,2917,434,547,9624,34499,93496,28329
    TRN-AIR TRAFFIC CONTROLLERS AND AIRFIELD OPERATIONS SPECIALISTS, ,51179,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,117,4900,562,5253,15732,6300,14792,2534,533,191,382,5462,27285,14792,3258
    TRN-FLIGHT ATTENDANTS, ,116255,0,80,0,100,0,0,0,0,0,0,0,188,0,243,169,671,13636,1413,9807,27007,15664,40830,4732,845,870,1451,15049,52478,40830,6447
"    TRN-AMBULANCE DRIVERS AND ATTENDANTS, EXCEPT EMERGENCY MEDICAL TECHNICIANS", ,16914,0,69,0,0,0,0,0,91,0,0,0,50,318,347,200,262,4115,592,1874,5636,1131,1446,783,0,0,1337,4707,8641,1446,783
    TRN-BUS DRIVERS, ,772066,0,6341,261,50,226,869,576,162,762,2645,1668,3314,9984,10236,17761,15274,284242,47966,71809,154559,69811,56415,14548,1627,960,70129,332208,296179,56415,17135
    TRN-DRIVER/SALES WORKERS AND TRUCK DRIVERS, ,4257191,0,51672,601,389,626,4386,8961,5932,8857,49154,20849,59369,91229,121180,158387,130019,1672309,315275,340105,704686,249784,219074,33359,6784,4204,711611,1987584,1294575,219074,44347
    TRN-TAXI DRIVERS AND CHAUFFEURS, ,526187,0,9524,263,240,285,676,1822,1449,1581,3437,2312,6666,6731,9768,11951,18099,158716,26540,36621,99877,38624,67148,19414,2533,1910,74804,185256,175122,67148,23857
"    TRN-MOTOR VEHICLE OPERATORS, ALL OTHER", ,77832,0,306,0,0,0,0,0,93,0,239,57,1824,828,1398,1502,1965,27539,3853,7079,15266,6631,7087,1557,487,121,8212,31392,28976,7087,2165
    TRN-LOCOMOTIVE ENGINEERS AND OPERATORS, ,51244,0,321,0,0,0,0,0,0,0,0,95,105,72,730,223,162,19642,1691,6006,12372,4585,4510,697,33,0,1708,21333,22963,4510,730
    TRN-RAILROAD CONDUCTORS AND YARDMASTERS, ,66109,0,48,0,0,0,0,0,0,0,0,0,0,0,513,289,629,22381,1979,8680,14789,7394,8484,498,425,0,1479,24360,30863,8484,923
"    TRN-SUBWAY, STREETCAR, AND OTHER RAIL TRANSPORTATION WORKERS", ,24587,0,0,0,0,0,0,0,0,0,37,169,29,385,275,337,226,8716,1010,3197,6431,1697,1344,734,0,0,1458,9726,11325,1344,734
"    TRN-SAILORS AND MARINE OILERS, AND SHIP ENGINEERS", ,44705,0,657,0,0,0,0,0,130,64,356,0,309,760,675,574,458,14885,2301,5269,10018,2776,4951,522,0,0,3983,17186,18063,4951,522
    TRN-SHIP AND BOAT CAPTAINS AND OPERATORS, ,60029,0,572,0,0,106,0,0,0,0,0,138,1122,30,1867,1050,797,15494,3378,5163,10163,4345,12058,2891,758,97,5682,18872,19671,12058,3746
    TRN-PARKING LOT ATTENDANTS, ,111633,0,1313,0,0,0,0,93,178,250,604,661,853,1851,3236,5846,4344,36363,3985,10783,22380,6665,10255,1573,274,126,19229,40348,39828,10255,1973
    TRN-AUTOMOTIVE AND WATERCRAFT SERVICE ATTENDANTS, ,127460,0,1919,0,91,0,0,0,0,0,1025,310,1406,3075,5232,8353,4506,48666,8056,11955,21786,5387,4550,790,173,180,25917,56722,39128,4550,1143
    TRN-TRANSPORTATION INSPECTORS, ,54537,0,625,0,0,0,0,0,0,40,152,0,0,1253,570,374,482,14974,3151,5582,11280,7719,6747,1486,0,102,3496,18125,24581,6747,1588
"    TRN-TRANSPORTATION ATTENDANTS, EXCEPT FLIGHT ATTENDANTS", ,44292,0,155,0,0,0,0,540,446,0,207,39,572,298,706,1625,1501,15906,3942,2788,10195,2039,2893,201,56,183,6089,19848,15022,2893,440
"    TRN-MISCELLANEOUS TRANSPORTATION WORKERS, INCLUDING BRIDGE AND LOCK TENDERS AND TRAFFIC TECHNICIANS", ,37920,0,0,71,0,0,0,0,0,0,64,215,0,0,159,231,356,13071,1687,4216,10316,3612,2443,1238,241,0,1096,14758,18144,2443,1479
    TRN-CRANE AND TOWER OPERATORS, ,69870,0,909,0,0,55,245,135,68,199,601,171,1780,1752,2241,2882,1335,29280,5561,4975,11745,3503,2213,166,0,54,12373,34841,20223,2213,220
"    TRN-DREDGE, EXCAVATING, AND LOADING MACHINE OPERATORS", ,43703,0,314,0,0,114,0,0,167,0,395,598,1197,1282,2010,1950,1781,19075,2638,2712,5973,1780,1425,292,0,0,9808,21713,10465,1425,292
"    TRN-CONVEYOR OPERATORS AND TENDERS, AND HOIST AND WINCH OPERATORS", ,17364,0,255,0,0,0,0,0,0,0,105,0,0,277,917,685,430,8991,1379,715,939,1573,812,286,0,0,2669,10370,3227,812,286
    TRN-INDUSTRIAL TRUCK AND TRACTOR OPERATORS, ,706311,0,10754,82,867,712,1116,2210,1185,2344,12919,2032,13596,20718,23417,30482,21509,305919,57628,49582,99763,28611,19181,1333,351,0,143943,363547,177956,19181,1684
    TRN-CLEANERS OF VEHICLES AND EQUIPMENT, ,501530,0,11418,0,186,804,2252,2112,2772,3016,13382,4047,9169,19267,26824,40349,16057,175682,33396,30481,72111,19459,15722,2424,600,0,151655,209078,122051,15722,3024
"    TRN-LABORERS AND FREIGHT, STOCK, AND MATERIAL MOVERS, HAND", ,3074518,0,54774,351,1029,2972,4107,8975,6492,11271,44360,12382,39870,79272,128046,178155,94456,1129125,216370,246091,506197,150498,136954,17278,3020,2473,666512,1345495,902786,136954,22771
    TRN-MACHINE FEEDERS AND OFFBEARERS, ,39267,0,773,0,0,0,99,0,0,301,921,18,1075,423,1555,2747,1539,14628,4224,1952,5460,2203,1045,304,0,0,9451,18852,9615,1045,304
"    TRN-PACKERS AND PACKAGERS, HAND", ,700608,0,25758,265,224,695,3699,6704,5770,6699,34661,8943,17539,36504,28395,43381,27745,236309,35524,40889,88123,25263,23526,2815,596,581,246982,271833,154275,23526,3992
    TRN-PUMPING STATION OPERATORS, ,33745,0,381,0,0,0,25,0,0,0,152,0,350,635,914,661,626,15004,1791,3697,5113,2327,1968,101,0,0,3744,16795,11137,1968,101
    TRN-REFUSE AND RECYCLABLE MATERIAL COLLECTORS, ,135094,0,3108,0,162,94,289,536,1089,434,3627,523,2286,5606,8176,8436,5130,48472,10956,8011,17386,6110,3879,693,91,0,39496,59428,31507,3879,784
"    TRN-MISCELLANEOUS MATERIAL MOVING WORKERS, INCLUDING MINE SHUTTLE CAR OPERATORS, AND TANK CAR, TRUCK, AND SHIP LOADERS", ,74610,0,613,77,0,0,0,202,157,0,623,146,2141,1160,2237,3268,3611,29064,5412,6494,11892,4080,2711,661,0,61,14235,34476,22466,2711,722
    MIL-MILITARY OFFICER SPECIAL AND TACTICAL OPERATIONS LEADERS, ,49094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5161,466,2641,8802,2466,18041,10977,157,383,0,5627,13909,18041,11517
    MIL-FIRST-LINE ENLISTED MILITARY SUPERVISORS, ,111018,0,0,0,0,0,0,0,0,0,0,0,0,0,184,417,167,13886,1117,9142,27870,20681,22653,13993,560,348,768,15003,57693,22653,14901
    MIL-MILITARY ENLISTED TACTICAL OPERATIONS AND AIR/WEAPONS SPECIALISTS AND CREW MEMBERS, ,171519,0,0,0,0,0,0,0,0,0,0,0,74,0,170,1875,242,68459,1649,22795,44138,10123,17731,3870,320,73,2361,70108,77056,17731,4263
"    MIL-MILITARY, RANK NOT SPECIFIED **", ,274977,0,751,0,0,33,0,0,0,130,65,0,43,23,427,985,976,68166,4930,37937,63312,29702,48165,17426,1449,457,3433,73096,130951,48165,19332
    UNEMPLOYED AND LAST WORKED 5 YEARS AGO OR EARLIER OR NEVER WORKED **, ,2133874,0,26776,486,416,1202,2690,5439,2666,3494,26276,7372,32231,99204,204061,244265,65696,592944,98978,129255,282770,84824,165522,43747,8088,5472,722274,691922,496849,165522,57307
Universe: All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: PWGTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataSet(s) selected: 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: ACS Public Use Microdata Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
