,Occupation,Expected Highest Education Level Completed
1,    N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),High School
2,    MGR-CHIEF EXECUTIVES AND LEGISLATORS,Bachelor Degree
3,    MGR-GENERAL AND OPERATIONS MANAGERS,Some College
4,    MGR-ADVERTISING AND PROMOTIONS MANAGERS,Bachelor Degree
5,    MGR-MARKETING AND SALES MANAGERS,Bachelor Degree
6,    MGR-PUBLIC RELATIONS AND FUNDRAISING MANAGERS,Bachelor Degree
7,    MGR-ADMINISTRATIVE SERVICES MANAGERS,Some College
8,    MGR-COMPUTER AND INFORMATION SYSTEMS MANAGERS,Bachelor Degree
9,    MGR-FINANCIAL MANAGERS,Bachelor Degree
10,    MGR-COMPENSATION AND BENEFITS MANAGERS,Bachelor Degree
11,    MGR-HUMAN RESOURCES MANAGERS,Bachelor Degree
12,    MGR-TRAINING AND DEVELOPMENT MANAGERS,Bachelor Degree
13,    MGR-INDUSTRIAL PRODUCTION MANAGERS,Some College
14,    MGR-PURCHASING MANAGERS,Bachelor Degree
15,"    MGR-TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS",Some College
16,"    MGR-FARMERS, RANCHERS, AND OTHER AGRICULTURAL MANAGERS",Some College
17,    MGR-CONSTRUCTION MANAGERS,Some College
18,    MGR-EDUCATION ADMINISTRATORS,Bachelor Degree
19,    MGR-ARCHITECTURAL AND ENGINEERING MANAGERS,Bachelor Degree
20,    MGR-FOOD SERVICE MANAGERS,Some College
21,    MGR-GAMING MANAGERS,Some College
22,    MGR-LODGING MANAGERS,Some College
23,    MGR-MEDICAL AND HEALTH SERVICES MANAGERS,Bachelor Degree
24,    MGR-NATURAL SCIENCES MANAGERS,Bachelor Degree
25,"    MGR-PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION MANAGERS",Some College
26,    MGR-SOCIAL AND COMMUNITY SERVICE MANAGERS,Bachelor Degree
27,    MGR-EMERGENCY MANAGEMENT DIRECTORS,Bachelor Degree
28,"    MGR-MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE MANAGERS AND POSTMASTERS AND MAIL SUPERINTENDENTS",Bachelor Degree
29,"    BUS-AGENTS AND BUSINESS MANAGERS OF ARTISTS, PERFORMERS, AND ATHLETES",Some College
30,"    BUS-BUYERS AND PURCHASING AGENTS, FARM PRODUCTS",Some College
31,"    BUS-WHOLESALE AND RETAIL BUYERS, EXCEPT FARM PRODUCTS",Some College
32,"    BUS-PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, AND FARM PRODUCTS",Some College
33,"    BUS-CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, AND INVESTIGATORS",Some College
34,    BUS-COMPLIANCE OFFICERS,Bachelor Degree
35,    BUS-COST ESTIMATORS,Some College
36,    BUS-HUMAN RESOURCES WORKERS,Bachelor Degree
37,"    BUS-COMPENSATION, BENEFITS, AND JOB ANALYSIS SPECIALISTS",Bachelor Degree
38,    BUS-TRAINING AND DEVELOPMENT SPECIALISTS,Bachelor Degree
39,    BUS-LOGISTICIANS,Some College
40,    BUS-MANAGEMENT ANALYSTS,Bachelor Degree
41,"    BUS-MEETING, CONVENTION, AND EVENT PLANNERS",Some College
42,    BUS-FUNDRAISERS,Bachelor Degree
43,    BUS-MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,Bachelor Degree
44,"    BUS-BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",Bachelor Degree
45,    FIN-ACCOUNTANTS AND AUDITORS,Bachelor Degree
46,    FIN-APPRAISERS AND ASSESSORS OF REAL ESTATE,Some College
47,    FIN-BUDGET ANALYSTS,Bachelor Degree
48,    FIN-CREDIT ANALYSTS,Bachelor Degree
49,    FIN-FINANCIAL ANALYSTS,Bachelor Degree
50,    FIN-PERSONAL FINANCIAL ADVISORS,Bachelor Degree
51,    FIN-INSURANCE UNDERWRITERS,Bachelor Degree
52,    FIN-FINANCIAL EXAMINERS,Bachelor Degree
53,    FIN-CREDIT COUNSELORS AND LOAN OFFICERS,Some College
54,"    FIN-TAX EXAMINERS AND COLLECTORS, AND REVENUE AGENTS",Some College
55,    FIN-TAX PREPARERS,Some College
56,"    FIN-FINANCIAL SPECIALISTS, ALL OTHER",Bachelor Degree
57,    CMM-COMPUTER AND INFORMATION RESEARCH SCIENTISTS,Bachelor Degree
58,    CMM-COMPUTER SYSTEMS ANALYSTS,Bachelor Degree
59,    CMM-INFORMATION SECURITY ANALYSTS,Bachelor Degree
60,    CMM-COMPUTER PROGRAMMERS,Bachelor Degree
61,"    CMM-SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE",Bachelor Degree
62,    CMM-WEB DEVELOPERS,Bachelor Degree
63,    CMM-COMPUTER SUPPORT SPECIALISTS,Some College
64,    CMM-DATABASE ADMINISTRATORS,Bachelor Degree
65,    CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,Bachelor Degree
66,    CMM-COMPUTER NETWORK ARCHITECTS,Bachelor Degree
67,"    CMM-COMPUTER OCCUPATIONS, ALL OTHER",Bachelor Degree
68,    CMM-ACTUARIES,Bachelor Degree
69,    CMM-OPERATIONS RESEARCH ANALYSTS,Bachelor Degree
70,"    CMM-MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS AND STATISTICIANS",Bachelor Degree
71,"    ENG-ARCHITECTS, EXCEPT NAVAL",Bachelor Degree
72,"    ENG-SURVEYORS, CARTOGRAPHERS, AND PHOTOGRAMMETRISTS",Bachelor Degree
73,    ENG-AEROSPACE ENGINEERS,Bachelor Degree
74,    ENG-BIOMEDICAL AND AGRICULTURAL ENGINEERS,Bachelor Degree
75,    ENG-CHEMICAL ENGINEERS,Bachelor Degree
76,    ENG-CIVIL ENGINEERS,Bachelor Degree
77,    ENG-COMPUTER HARDWARE ENGINEERS,Bachelor Degree
78,    ENG-ELECTRICAL AND ELECTRONICS ENGINEERS,Bachelor Degree
79,    ENG-ENVIRONMENTAL ENGINEERS,Bachelor Degree
80,"    ENG-INDUSTRIAL ENGINEERS, INCLUDING HEALTH AND SAFETY",Bachelor Degree
81,    ENG-MARINE ENGINEERS AND NAVAL ARCHITECTS,Bachelor Degree
82,    ENG-MATERIALS ENGINEERS,Bachelor Degree
83,    ENG-MECHANICAL ENGINEERS,Bachelor Degree
84,"    ENG-PETROLEUM, MINING AND GEOLOGICAL ENGINEERS, INCLUDING MINING SAFETY ENGINEERS",Bachelor Degree
85,"    ENG-MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",Bachelor Degree
86,    ENG-DRAFTERS,Some College
87,"    ENG-ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",Some College
88,    ENG-SURVEYING AND MAPPING TECHNICIANS,Some College
89,    SCI-AGRICULTURAL AND FOOD SCIENTISTS,Bachelor Degree
90,    SCI-BIOLOGICAL SCIENTISTS,Bachelor Degree
91,    SCI-CONSERVATION SCIENTISTS AND FORESTERS,Bachelor Degree
92,"    SCI-MEDICAL SCIENTISTS, AND LIFE SCIENTISTS, ALL OTHER","Master, PhD, or Professional Degree"
93,    SCI-ASTRONOMERS AND PHYSICISTS,"Master, PhD, or Professional Degree"
94,    SCI-ATMOSPHERIC AND SPACE SCIENTISTS,Bachelor Degree
95,    SCI-CHEMISTS AND MATERIALS SCIENTISTS,Bachelor Degree
96,    SCI-ENVIRONMENTAL SCIENTISTS AND GEOSCIENTISTS,Bachelor Degree
97,"    SCI-PHYSICAL SCIENTISTS, ALL OTHER","Master, PhD, or Professional Degree"
98,    SCI-ECONOMISTS,"Master, PhD, or Professional Degree"
99,    SCI-PSYCHOLOGISTS,"Master, PhD, or Professional Degree"
100,    SCI-URBAN AND REGIONAL PLANNERS,Bachelor Degree
101,"    SCI-MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS AND SOCIOLOGISTS",Bachelor Degree
102,    SCI-AGRICULTURAL AND FOOD SCIENCE TECHNICIANS,Some College
103,    SCI-BIOLOGICAL TECHNICIANS,Some College
104,    SCI-CHEMICAL TECHNICIANS,Some College
105,"    SCI-GEOLOGICAL AND PETROLEUM TECHNICIANS, AND NUCLEAR TECHNICIANS",Some College
106,"    SCI-MISCELLANEOUS LIFE, PHYSICAL, AND SOCIAL SCIENCE TECHNICIANS, INCLUDING SOCIAL SCIENCE RESEARCH ASSISTANTS",Some College
107,    CMS-COUNSELORS,Bachelor Degree
108,    CMS-SOCIAL WORKERS,Bachelor Degree
109,    CMS-PROBATION OFFICERS AND CORRECTIONAL TREATMENT SPECIALISTS,Bachelor Degree
110,    CMS-SOCIAL AND HUMAN SERVICE ASSISTANTS,Some College
111,"    CMS-MISCELLANEOUS COMMUNITY AND SOCIAL SERVICE SPECIALISTS, INCLUDING HEALTH EDUCATORS AND COMMUNITY HEALTH WORKERS",Bachelor Degree
112,    CMS-CLERGY,Bachelor Degree
113,"    CMS-DIRECTORS, RELIGIOUS ACTIVITIES AND EDUCATION",Bachelor Degree
114,"    CMS-RELIGIOUS WORKERS, ALL OTHER",Some College
115,"    LGL-LAWYERS, AND JUDGES, MAGISTRATES, AND OTHER JUDICIAL WORKERS","Master, PhD, or Professional Degree"
116,    LGL-JUDICIAL LAW CLERKS,"Master, PhD, or Professional Degree"
117,    LGL-PARALEGALS AND LEGAL ASSISTANTS,Some College
118,    LGL-MISCELLANEOUS LEGAL SUPPORT WORKERS,Some College
119,    EDU-POSTSECONDARY TEACHERS,"Master, PhD, or Professional Degree"
120,    EDU-PRESCHOOL AND KINDERGARTEN TEACHERS,Some College
121,    EDU-ELEMENTARY AND MIDDLE SCHOOL TEACHERS,Bachelor Degree
122,    EDU-SECONDARY SCHOOL TEACHERS,Bachelor Degree
123,    EDU-SPECIAL EDUCATION TEACHERS,Bachelor Degree
124,    EDU-OTHER TEACHERS AND INSTRUCTORS,Some College
125,"    EDU-ARCHIVISTS, CURATORS, AND MUSEUM TECHNICIANS",Bachelor Degree
126,    EDU-LIBRARIANS,Bachelor Degree
127,    EDU-LIBRARY TECHNICIANS,Some College
128,    EDU-TEACHER ASSISTANTS,Some College
129,"    EDU-OTHER EDUCATION, TRAINING, AND LIBRARY WORKERS",Bachelor Degree
130,    ENT-ARTISTS AND RELATED WORKERS,Bachelor Degree
131,    ENT-DESIGNERS,Some College
132,    ENT-ACTORS,Some College
133,    ENT-PRODUCERS AND DIRECTORS,Bachelor Degree
134,"    ENT-ATHLETES, COACHES, UMPIRES, AND RELATED WORKERS",Some College
135,    ENT-DANCERS AND CHOREOGRAPHERS,Some College
136,"    ENT-MUSICIANS, SINGERS, AND RELATED WORKERS",Some College
137,"    ENT-ENTERTAINERS AND PERFORMERS, SPORTS AND RELATED WORKERS, ALL OTHER",Some College
138,    ENT-ANNOUNCERS,Some College
139,"    ENT-NEWS ANALYSTS, REPORTERS AND CORRESPONDENTS",Bachelor Degree
140,    ENT-PUBLIC RELATIONS SPECIALISTS,Bachelor Degree
141,    ENT-EDITORS,Bachelor Degree
142,    ENT-TECHNICAL WRITERS,Bachelor Degree
143,    ENT-WRITERS AND AUTHORS,Bachelor Degree
144,    ENT-MISCELLANEOUS MEDIA AND COMMUNICATION WORKERS,Some College
145,"    ENT-BROADCAST AND SOUND ENGINEERING TECHNICIANS AND RADIO OPERATORS, AND MEDIA AND COMMUNICATION EQUIPMENT WORKERS, ALL OTHER",Some College
146,    ENT-PHOTOGRAPHERS,Some College
147,"    ENT-TELEVISION, VIDEO, AND MOTION PICTURE CAMERA OPERATORS AND EDITORS",Bachelor Degree
148,    MED-CHIROPRACTORS,"Master, PhD, or Professional Degree"
149,    MED-DENTISTS,"Master, PhD, or Professional Degree"
150,    MED-DIETITIANS AND NUTRITIONISTS,Bachelor Degree
151,    MED-OPTOMETRISTS,"Master, PhD, or Professional Degree"
152,    MED-PHARMACISTS,"Master, PhD, or Professional Degree"
153,    MED-PHYSICIANS AND SURGEONS,"Master, PhD, or Professional Degree"
154,    MED-PHYSICIAN ASSISTANTS,"Master, PhD, or Professional Degree"
155,    MED-PODIATRISTS,"Master, PhD, or Professional Degree"
156,    MED-AUDIOLOGISTS,"Master, PhD, or Professional Degree"
157,    MED-OCCUPATIONAL THERAPISTS,Bachelor Degree
158,    MED-PHYSICAL THERAPISTS,"Master, PhD, or Professional Degree"
159,    MED-RADIATION THERAPISTS,Bachelor Degree
160,    MED-RECREATIONAL THERAPISTS,Bachelor Degree
161,    MED-RESPIRATORY THERAPISTS,Some College
162,    MED-SPEECH-LANGUAGE PATHOLOGISTS,"Master, PhD, or Professional Degree"
163,"    MED-OTHER THERAPISTS, INCLUDING EXERCISE PHYSIOLOGISTS",Bachelor Degree
164,    MED-VETERINARIANS,"Master, PhD, or Professional Degree"
165,    MED-REGISTERED NURSES,Bachelor Degree
166,    MED-NURSE ANESTHETISTS,"Master, PhD, or Professional Degree"
167,"    MED-NURSE PRACTITIONERS, AND NURSE MIDWIVES","Master, PhD, or Professional Degree"
168,"    MED-HEALTH DIAGNOSING AND TREATING PRACTITIONERS, ALL OTHER",Bachelor Degree
169,    MED-CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS,Some College
170,    MED-DENTAL HYGIENISTS,Some College
171,    MED-DIAGNOSTIC RELATED TECHNOLOGISTS AND TECHNICIANS,Some College
172,    MED-EMERGENCY MEDICAL TECHNICIANS AND PARAMEDICS,Some College
173,    MED-HEALTH PRACTITIONER SUPPORT TECHNOLOGISTS AND TECHNICIANS,Some College
174,    MED-LICENSED PRACTICAL AND LICENSED VOCATIONAL NURSES,Some College
175,    MED-MEDICAL RECORDS AND HEALTH INFORMATION TECHNICIANS,Some College
176,"    MED-OPTICIANS, DISPENSING",Some College
177,    MED-MISCELLANEOUS HEALTH TECHNOLOGISTS AND TECHNICIANS,Some College
178,    MED-OTHER HEALTHCARE PRACTITIONERS AND TECHNICAL OCCUPATIONS,Bachelor Degree
179,"    HLS-NURSING, PSYCHIATRIC, AND HOME HEALTH AIDES",Some College
180,    HLS-OCCUPATIONAL THERAPY ASSISTANTS AND AIDES,Some College
181,    HLS-PHYSICAL THERAPIST ASSISTANTS AND AIDES,Some College
182,    HLS-MASSAGE THERAPISTS,Some College
183,    HLS-DENTAL ASSISTANTS,Some College
184,    HLS-MEDICAL ASSISTANTS,Some College
185,    HLS-MEDICAL TRANSCRIPTIONISTS,Some College
186,    HLS-PHARMACY AIDES,Some College
187,    HLS-VETERINARY ASSISTANTS AND LABORATORY ANIMAL CARETAKERS,Some College
188,    HLS-PHLEBOTOMISTS,Some College
189,"    HLS-HEALTHCARE SUPPORT WORKERS, ALL OTHER, INCLUDING MEDICAL EQUIPMENT PREPARERS",Some College
190,    PRT-FIRST-LINE SUPERVISORS OF CORRECTIONAL OFFICERS,Some College
191,    PRT-FIRST-LINE SUPERVISORS OF POLICE AND DETECTIVES,Some College
192,    PRT-FIRST-LINE SUPERVISORS OF FIRE FIGHTING AND PREVENTION WORKERS,Some College
193,"    PRT-FIRST-LINE SUPERVISORS OF PROTECTIVE SERVICE WORKERS, ALL OTHER",Some College
194,    PRT-FIREFIGHTERS,Some College
195,    PRT-FIRE INSPECTORS,Some College
196,"    PRT-BAILIFFS, CORRECTIONAL OFFICERS, AND JAILERS",Some College
197,    PRT-DETECTIVES AND CRIMINAL INVESTIGATORS,Bachelor Degree
198,    PRT-MISCELLANEOUS LAW ENFORCEMENT WORKERS,Some College
199,    PRT-POLICE OFFICERS,Some College
200,    PRT-ANIMAL CONTROL WORKERS,Some College
201,    PRT-PRIVATE DETECTIVES AND INVESTIGATORS,Bachelor Degree
202,    PRT-SECURITY GUARDS AND GAMING SURVEILLANCE OFFICERS,Some College
203,    PRT-CROSSING GUARDS,High School
204,    PRT-TRANSPORTATION SECURITY SCREENERS,Some College
205,"    PRT-LIFEGUARDS AND OTHER RECREATIONAL, AND ALL OTHER PROTECTIVE SERVICE WORKERS",High School
206,    EAT-CHEFS AND HEAD COOKS,Some College
207,    EAT-FIRST-LINE SUPERVISORS OF FOOD PREPARATION AND SERVING WORKERS,Some College
208,    EAT-COOKS,High School
209,    EAT-FOOD PREPARATION WORKERS,High School
210,    EAT-BARTENDERS,Some College
211,"    EAT-COMBINED FOOD PREPARATION AND SERVING WORKERS, INCLUDING FAST FOOD",High School
212,"    EAT-COUNTER ATTENDANTS, CAFETERIA, FOOD CONCESSION, AND COFFEE SHOP",High School
213,    EAT-WAITERS AND WAITRESSES,Some College
214,"    EAT-FOOD SERVERS, NONRESTAURANT",High School
215,"    EAT-MISCELLANEOUS FOOD PREPARATION AND SERVING RELATED WORKERS, INCLUDING DINING ROOM AND CAFETERIA ATTENDANTS AND BARTENDER HELPERS",High School
216,    EAT-DISHWASHERS,High School
217,"    EAT-HOSTS AND HOSTESSES, RESTAURANT, LOUNGE, AND COFFEE SHOP",High School
218,    CLN-FIRST-LINE SUPERVISORS OF HOUSEKEEPING AND JANITORIAL WORKERS,High School
219,"    CLN-FIRST-LINE SUPERVISORS OF LANDSCAPING, LAWN SERVICE, AND GROUNDSKEEPING WORKERS",Some College
220,    CLN-JANITORS AND BUILDING CLEANERS,High School
221,    CLN-MAIDS AND HOUSEKEEPING CLEANERS,High School
222,    CLN-PEST CONTROL WORKERS,Some College
223,    CLN-GROUNDS MAINTENANCE WORKERS,High School
224,    PRS-FIRST-LINE SUPERVISORS OF GAMING WORKERS,Some College
225,    PRS-FIRST-LINE SUPERVISORS OF PERSONAL SERVICE WORKERS,Some College
226,    PRS-ANIMAL TRAINERS,Some College
227,    PRS-NONFARM ANIMAL CARETAKERS,Some College
228,    PRS-GAMING SERVICES WORKERS,Some College
229,    PRS-MOTION PICTURE PROJECTIONISTS,Some College
230,"    PRS-USHERS, LOBBY ATTENDANTS, AND TICKET TAKERS",Some College
231,    PRS-MISCELLANEOUS ENTERTAINMENT ATTENDANTS AND RELATED WORKERS,Some College
232,    PRS-EMBALMERS AND FUNERAL ATTENDANTS,Some College
233,"    PRS-MORTICIANS, UNDERTAKERS, AND FUNERAL DIRECTORS",Some College
234,    PRS-BARBERS,High School
235,"    PRS-HAIRDRESSERS, HAIRSTYLISTS, AND COSMETOLOGISTS",High School
236,    PRS-MISCELLANEOUS PERSONAL APPEARANCE WORKERS,High School
237,"    PRS-BAGGAGE PORTERS, BELLHOPS, AND CONCIERGES",Some College
238,    PRS-TOUR AND TRAVEL GUIDES,Some College
239,    PRS-CHILDCARE WORKERS,Some College
240,    PRS-PERSONAL CARE AIDES,High School
241,    PRS-RECREATION AND FITNESS WORKERS,Some College
242,    PRS-RESIDENTIAL ADVISORS,Some College
243,"    PRS-PERSONAL CARE AND SERVICE WORKERS, ALL OTHER",Some College
244,    SAL-FIRST-LINE SUPERVISORS OF RETAIL SALES WORKERS,Some College
245,    SAL-FIRST-LINE SUPERVISORS OF NON-RETAIL SALES WORKERS,Some College
246,    SAL-CASHIERS,High School
247,    SAL-COUNTER AND RENTAL CLERKS,Some College
248,    SAL-PARTS SALESPERSONS,High School
249,    SAL-RETAIL SALESPERSONS,Some College
